Orthogroup	A_granulata_2	S_constricta_2
OG0000028	A_granulata|evm.model.Super-Scaffold_100025.188_1	S_constricta|evm.model.ctg930.2
OG0000029	A_granulata|model.g2134.t1_1	S_constricta|evm.model.ctg492.4
OG0000030	A_granulata|model.g1298.t1_1	S_constricta|evm.model.ctg40.49
OG0000031	A_granulata|model.g100.t1_1	S_constricta|evm.model.ctg142.10
OG0000032	A_granulata|model.g501.t1_1	S_constricta|evm.model.ctg145.40
OG0000033	A_granulata|model.g1883.t1_1	S_constricta|evm.model.ctg647.9
OG0000034	A_granulata|model.g1662.t1_1	S_constricta|evm.model.ctg613.8
OG0000035	A_granulata|model.g3215.t1_1	S_constricta|evm.model.ctg392.9
OG0000036	A_granulata|model.g3997.t1_1	S_constricta|evm.model.ctg96.20
OG0000037	A_granulata|model.g4135.t1_1	S_constricta|evm.model.ctg533.29
OG0000038	A_granulata|model.g3909.t1_1	S_constricta|evm.model.ctg1402.5
OG0000039	A_granulata|model.g5912.t1_1	S_constricta|evm.model.ctg271.100
OG0000040	A_granulata|model.g6072.t1_1	S_constricta|evm.model.ctg76.36
OG0000041	A_granulata|model.g8800.t1_1	S_constricta|evm.model.ctg64.47
OG0000042	A_granulata|model.g8671.t1_1	S_constricta|evm.model.ctg154.29
OG0000043	A_granulata|model.g9992.t1_1	S_constricta|evm.model.ctg491.9
OG0000044	A_granulata|model.g9597.t1_1	S_constricta|evm.model.ctg340.12
OG0000045	A_granulata|model.g11944.t1_1	S_constricta|evm.model.ctg968.2
OG0000046	A_granulata|model.g13152.t1_1	S_constricta|evm.model.ctg667.12
OG0000047	A_granulata|model.g15250.t1_1	S_constricta|evm.model.ctg1.21
OG0000048	A_granulata|model.g15596.t1_1	S_constricta|evm.model.ctg1.125_evm.model.ctg1.126
OG0000049	A_granulata|model.g17957.t1_1	S_constricta|evm.model.ctg388.17
OG0000050	A_granulata|model.g30402.t1_1	S_constricta|evm.model.ctg51.64
OG0000051	A_granulata|model.g29359.t1_1	S_constricta|evm.model.ctg185.15
OG0000052	A_granulata|model.g28777.t1_1	S_constricta|evm.model.ctg101.83
OG0000053	A_granulata|model.g29911.t1_1	S_constricta|evm.model.ctg1651.2
OG0000054	A_granulata|model.g1284.t1.1.5d3b82d5_1	S_constricta|evm.model.ctg775.15
OG0000055	A_granulata|model.g2097.t1_1	S_constricta|evm.model.ctg1149.7
OG0000056	A_granulata|model.g89.t1.1.5d3b81fd_1	S_constricta|evm.model.ctg1239.1
OG0000057	A_granulata|model.g763.t1_model.g765.t1_1	S_constricta|evm.model.ctg138.11
OG0000058	A_granulata|model.g4291.t1_1	S_constricta|evm.model.ctg96.49
OG0000059	A_granulata|model.g6491.t1.1.5d3b8503_1	S_constricta|evm.model.ctg639.2
OG0000060	A_granulata|model.g7388.t1_1	S_constricta|evm.model.ctg74.29
OG0000061	A_granulata|model.g7604.t1.1.5d3b84b3_1	S_constricta|evm.model.ctg210.6
OG0000062	A_granulata|model.g8718.t1.1.5d3b85ae_1	S_constricta|evm.model.ctg230.1
OG0000063	A_granulata|model.g7299.t1_1	S_constricta|evm.model.ctg131.13
OG0000064	A_granulata|model.g13274.t1_1	S_constricta|evm.model.ctg1020.4
OG0000065	A_granulata|model.g17523.t1_1	S_constricta|evm.model.ctg502.6
OG0000066	A_granulata|model.g17660.t1_1	S_constricta|evm.model.ctg442.45
OG0000067	A_granulata|model.g20823.t1_1	S_constricta|evm.model.ctg249.21
OG0000068	A_granulata|model.g29179.t1_1	S_constricta|evm.model.ctg1547.1
OG0000069	A_granulata|model.g31682.t1_1	S_constricta|evm.model.ctg381.13
OG0000070	A_granulata|model.g32000.t1_1	S_constricta|evm.model.ctg367.23
