Orthogroup	B_glabrata_2	P_fucata_2
OG0000020	B_glabrata|XP_013079560.1, B_glabrata|XP_013082920.1	P_fucata|Pma_10026027, P_fucata|Pma_10001746
OG0000023	B_glabrata|XP_013069100.1	P_fucata|Pma_10014854
OG0000024	B_glabrata|XP_013079153.1	P_fucata|Pma_10012487
OG0000025	B_glabrata|XP_013070418.1	P_fucata|Pma_10016699
OG0000026	B_glabrata|XP_013085147.1	P_fucata|Pma_10004014
OG0000027	B_glabrata|XP_013079423.1	P_fucata|Pma_10008115
OG0000028	B_glabrata|XP_013064541.1	P_fucata|Pma_10025415
OG0000029	B_glabrata|XP_013084231.1	P_fucata|Pma_10031590
OG0000030	B_glabrata|XP_013088149.1	P_fucata|Pma_10019276
OG0000031	B_glabrata|XP_013061816.1	P_fucata|Pma_10004601
OG0000032	B_glabrata|XP_013081362.1	P_fucata|Pma_10001679
OG0000033	B_glabrata|XP_013091381.1	P_fucata|Pma_10026789
OG0000034	B_glabrata|XP_013078957.1	P_fucata|Pma_10032131
OG0000035	B_glabrata|XP_013075562.1	P_fucata|Pma_10016128
OG0000036	B_glabrata|XP_013064900.1	P_fucata|Pma_10028537
OG0000037	B_glabrata|XP_013085046.1	P_fucata|Pma_10007898
OG0000038	B_glabrata|XP_013077767.1	P_fucata|Pma_225.222
OG0000039	B_glabrata|XP_013086056.1	P_fucata|Pma_10017118
OG0000040	B_glabrata|XP_013079984.1	P_fucata|Pma_10009782
OG0000041	B_glabrata|XP_013075181.1	P_fucata|Pma_10020132
OG0000042	B_glabrata|XP_013068776.1	P_fucata|Pma_10002130
OG0000043	B_glabrata|XP_013064636.1	P_fucata|Pma_10008006
OG0000044	B_glabrata|XP_013096019.1	P_fucata|Pma_10030088
OG0000045	B_glabrata|XP_013086308.1	P_fucata|Pma_10002234
OG0000046	B_glabrata|XP_013066099.1	P_fucata|Pma_10027324
OG0000047	B_glabrata|XP_013082575.1	P_fucata|Pma_10023216
OG0000048	B_glabrata|XP_013086900.1	P_fucata|Pma_10003678
OG0000049	B_glabrata|XP_013067132.1	P_fucata|Pma_10020653
OG0000050	B_glabrata|XP_013095945.1	P_fucata|Pma_10006139
OG0000051	B_glabrata|XP_013090147.1	P_fucata|Pma_10021729
OG0000052	B_glabrata|XP_013088196.1	P_fucata|Pma_10014024
OG0000053	B_glabrata|XP_013067251.1	P_fucata|Pma_10029871
OG0000054	B_glabrata|XP_013065711.1	P_fucata|Pma_10029064
OG0000055	B_glabrata|XP_013087945.1	P_fucata|Pma_10017450
OG0000056	B_glabrata|XP_013082149.1	P_fucata|Pma_10015971
OG0000057	B_glabrata|XP_013065610.1	P_fucata|Pma_10013840
OG0000058	B_glabrata|XP_013076231.1	P_fucata|Pma_10014039
OG0000059	B_glabrata|XP_013083411.1	P_fucata|Pma_10022791
OG0000060	B_glabrata|XP_013072764.1	P_fucata|Pma_10022841
OG0000061	B_glabrata|XP_013096882.1	P_fucata|Pma_10032223
OG0000062	B_glabrata|XP_013065247.1	P_fucata|Pma_10006927
OG0000063	B_glabrata|XP_013084385.1	P_fucata|Pma_10026025
OG0000064	B_glabrata|XP_013061978.1	P_fucata|Pma_10001281
OG0000065	B_glabrata|XP_013084680.1	P_fucata|Pma_10008428
OG0000066	B_glabrata|XP_013080185.1	P_fucata|Pma_10031684
OG0000067	B_glabrata|XP_013070700.1	P_fucata|Pma_10022889
OG0000068	B_glabrata|XP_013071542.1	P_fucata|Pma_10017451
OG0000069	B_glabrata|XP_013063965.1	P_fucata|Pma_10015959
OG0000070	B_glabrata|XP_013067166.1	P_fucata|Pma_10013995
