Orthogroup	B_glabrata_2	H_robusta_2
OG0000026	B_glabrata|XP_013085147.1	H_robusta|ESN95294.1
OG0000027	B_glabrata|XP_013079423.1	H_robusta|ESO08179.1
OG0000028	B_glabrata|XP_013064541.1	H_robusta|ESO08129.1
OG0000029	B_glabrata|XP_013084231.1	H_robusta|ESO13052.1
OG0000030	B_glabrata|XP_013088149.1	H_robusta|ESO09280.1
OG0000031	B_glabrata|XP_013061816.1	H_robusta|ESO09736.1
OG0000032	B_glabrata|XP_013081362.1	H_robusta|ESO02199.1
OG0000033	B_glabrata|XP_013091381.1	H_robusta|ESN90052.1
OG0000034	B_glabrata|XP_013078957.1	H_robusta|ESN90476.1
OG0000035	B_glabrata|XP_013075562.1	H_robusta|ESO10634.1
OG0000036	B_glabrata|XP_013064900.1	H_robusta|ESO10298.1
OG0000037	B_glabrata|XP_013085046.1	H_robusta|ESN95204.1
OG0000038	B_glabrata|XP_013077767.1	H_robusta|ESO05119.1
OG0000039	B_glabrata|XP_013086056.1	H_robusta|ESN96911.1
OG0000040	B_glabrata|XP_013079984.1	H_robusta|ESO01626.1
OG0000041	B_glabrata|XP_013075181.1	H_robusta|ESO00575.1
OG0000042	B_glabrata|XP_013068776.1	H_robusta|ESN96167.1
OG0000043	B_glabrata|XP_013064636.1	H_robusta|ESO04933.1
OG0000044	B_glabrata|XP_013096019.1	H_robusta|ESO00697.1
OG0000045	B_glabrata|XP_013086308.1	H_robusta|ESN99635.1
OG0000046	B_glabrata|XP_013066099.1	H_robusta|ESO10083.1
OG0000047	B_glabrata|XP_013082575.1	H_robusta|ESN91550.1
OG0000048	B_glabrata|XP_013086900.1	H_robusta|ESO13187.1
OG0000049	B_glabrata|XP_013067132.1	H_robusta|ESN98754.1
OG0000050	B_glabrata|XP_013095945.1	H_robusta|ESO00076.1
OG0000051	B_glabrata|XP_013090147.1	H_robusta|ESN99728.1
OG0000052	B_glabrata|XP_013088196.1	H_robusta|ESN98670.1
OG0000053	B_glabrata|XP_013067251.1	H_robusta|ESO03583.1
OG0000054	B_glabrata|XP_013065711.1	H_robusta|ESO10888.1
OG0000055	B_glabrata|XP_013087945.1	H_robusta|ESN91162.1
OG0000056	B_glabrata|XP_013082149.1	H_robusta|ESO08731.1
OG0000057	B_glabrata|XP_013065610.1	H_robusta|ESO06944.1
OG0000058	B_glabrata|XP_013076231.1	H_robusta|ESO09558.1
OG0000059	B_glabrata|XP_013083411.1	H_robusta|ESN94151.1
OG0000060	B_glabrata|XP_013072764.1	H_robusta|ESN99626.1
OG0000061	B_glabrata|XP_013096882.1	H_robusta|ESO02346.1
OG0000062	B_glabrata|XP_013065247.1	H_robusta|ESN92353.1
OG0000063	B_glabrata|XP_013084385.1	H_robusta|ESN90952.1
OG0000064	B_glabrata|XP_013061978.1	H_robusta|ESN94328.1
OG0000065	B_glabrata|XP_013084680.1	H_robusta|ESO10101.1
OG0000066	B_glabrata|XP_013080185.1	H_robusta|ESO01061.1
OG0000067	B_glabrata|XP_013070700.1	H_robusta|ESN96928.1
OG0000068	B_glabrata|XP_013071542.1	H_robusta|ESN99588.1
OG0000069	B_glabrata|XP_013063965.1	H_robusta|ESO02510.1
OG0000070	B_glabrata|XP_013067166.1	H_robusta|ESO13213.1
OG0000072	B_glabrata|XP_013073978.1	H_robusta|ESN92120.1
