Orthogroup	C_virginica_2	O_bimaculoides_2
OG0000015	C_virginica|XP_022341159.1	O_bimaculoides|XP_014789051.1
OG0000017	C_virginica|XP_022344548.1, C_virginica|XP_022344551.1, C_virginica|XP_022343020.1	O_bimaculoides|XP_014773512.1
OG0000019	C_virginica|XP_022338983.1	O_bimaculoides|XP_014773657.1
OG0000019	C_virginica|XP_022291061.1	O_bimaculoides|XP_014781196.1
OG0000019	C_virginica|XP_022313091.1, C_virginica|XP_022313389.1	O_bimaculoides|XP_014772300.1
OG0000019	C_virginica|XP_022302633.1, C_virginica|XP_022313153.1	O_bimaculoides|XP_014780698.1
OG0000020	C_virginica|XP_022331975.1, C_virginica|XP_022331976.1	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	C_virginica|XP_022322019.1	O_bimaculoides|XP_014787445.1
OG0000024	C_virginica|XP_022319000.1	O_bimaculoides|XP_014778891.1
OG0000025	C_virginica|XP_022316668.1	O_bimaculoides|XP_014789699.1
OG0000026	C_virginica|XP_022344839.1	O_bimaculoides|XP_014789426.1
OG0000027	C_virginica|XP_022341852.1	O_bimaculoides|XP_014788131.1
OG0000028	C_virginica|XP_022321873.1	O_bimaculoides|XP_014790475.1
OG0000029	C_virginica|XP_022344457.1	O_bimaculoides|XP_014772627.1
OG0000030	C_virginica|XP_022308357.1	O_bimaculoides|XP_014784674.1
OG0000031	C_virginica|XP_022328400.1	O_bimaculoides|XP_014787618.1
OG0000032	C_virginica|XP_022338696.1	O_bimaculoides|XP_014773878.1
OG0000033	C_virginica|XP_022343803.1	O_bimaculoides|XP_014769418.1
OG0000034	C_virginica|XP_022343845.1	O_bimaculoides|XP_014777276.1
OG0000035	C_virginica|XP_022313863.1	O_bimaculoides|XP_014772225.1
OG0000036	C_virginica|XP_022314684.1	O_bimaculoides|XP_014776166.1
OG0000037	C_virginica|XP_022316489.1	O_bimaculoides|XP_014785114.1
OG0000038	C_virginica|XP_022314870.1	O_bimaculoides|XP_014773522.1
OG0000039	C_virginica|XP_022309414.1	O_bimaculoides|XP_014772348.1
OG0000040	C_virginica|XP_022332522.1	O_bimaculoides|XP_014788148.1
OG0000041	C_virginica|XP_022301526.1	O_bimaculoides|XP_014773542.1
OG0000042	C_virginica|XP_022300046.1	O_bimaculoides|XP_014775340.1
OG0000043	C_virginica|XP_022322855.1	O_bimaculoides|XP_014783376.1
OG0000044	C_virginica|XP_022334366.1	O_bimaculoides|XP_014767759.1
OG0000045	C_virginica|XP_022317065.1	O_bimaculoides|XP_014774176.1
OG0000046	C_virginica|XP_022325540.1	O_bimaculoides|XP_014772041.1
OG0000047	C_virginica|XP_022333984.1	O_bimaculoides|XP_014770126.1
OG0000048	C_virginica|XP_022330767.1	O_bimaculoides|XP_014783673.1
OG0000049	C_virginica|XP_022333004.1	O_bimaculoides|XP_014790578.1
OG0000050	C_virginica|XP_022340056.1	O_bimaculoides|XP_014773139.1
OG0000051	C_virginica|XP_022343998.1	O_bimaculoides|XP_014776868.1
OG0000052	C_virginica|XP_022345957.1	O_bimaculoides|XP_014790391.1
OG0000053	C_virginica|XP_022286161.1	O_bimaculoides|XP_014778145.1
OG0000054	C_virginica|XP_022343743.1	O_bimaculoides|XP_014779552.1
OG0000055	C_virginica|XP_022345421.1	O_bimaculoides|XP_014775648.1
OG0000056	C_virginica|XP_022329200.1	O_bimaculoides|XP_014783300.1
OG0000057	C_virginica|XP_022288607.1	O_bimaculoides|XP_014774168.1
OG0000058	C_virginica|XP_022317557.1	O_bimaculoides|XP_014785555.1
OG0000059	C_virginica|XP_022295132.1	O_bimaculoides|XP_014789933.1
OG0000060	C_virginica|XP_022316787.1	O_bimaculoides|XP_014776694.1
OG0000061	C_virginica|XP_022296668.1	O_bimaculoides|XP_014790210.1
OG0000062	C_virginica|XP_022298945.1	O_bimaculoides|XP_014772987.1
OG0000063	C_virginica|XP_022313813.1	O_bimaculoides|XP_014776218.1
OG0000064	C_virginica|XP_022320821.1	O_bimaculoides|XP_014783678.1
OG0000065	C_virginica|XP_022340992.1	O_bimaculoides|XP_014772273.1
OG0000066	C_virginica|XP_022332899.1	O_bimaculoides|XP_014778623.1
OG0000067	C_virginica|XP_022321982.1	O_bimaculoides|XP_014771836.1
OG0000068	C_virginica|XP_022341053.1	O_bimaculoides|XP_014789121.1
OG0000069	C_virginica|XP_022322535.1	O_bimaculoides|XP_014772840.1
OG0000070	C_virginica|XP_022333852.1	O_bimaculoides|XP_014789614.1
