Orthogroup	P_fucata_2	L_gigantea_2
OG0000018	P_fucata|Pma_10018321, P_fucata|Pma_10016081, P_fucata|Pma_10027321, P_fucata|Pma_10011065, P_fucata|Pma_10013599, P_fucata|Pma_10021855, P_fucata|Pma_10022476, P_fucata|Pma_10020684, P_fucata|Pma_10026948, P_fucata|Pma_10028434, P_fucata|Pma_10021692, P_fucata|Pma_10001184, P_fucata|Pma_10018175, P_fucata|Pma_10030542, P_fucata|Pma_10023239, P_fucata|Pma_10020252, P_fucata|Pma_10025744, P_fucata|Pma_10002367, P_fucata|Pma_10013560, P_fucata|Pma_10010736, P_fucata|Pma_10007429, P_fucata|Pma_10000702, P_fucata|Pma_10029440, P_fucata|Pma_10011394, P_fucata|Pma_10023184, P_fucata|Pma_10006442, P_fucata|Pma_10022327, P_fucata|Pma_10023372, P_fucata|Pma_10020542, P_fucata|Pma_10023966, P_fucata|Pma_10030882, P_fucata|Pma_10004726, P_fucata|Pma_10013561, P_fucata|Pma_10009009, P_fucata|Pma_10002677, P_fucata|Pma_10010284, P_fucata|Pma_10013403, P_fucata|Pma_10006138, P_fucata|Pma_10005768, P_fucata|Pma_10030764, P_fucata|Pma_10021806, P_fucata|Pma_10016667, P_fucata|Pma_10007024, P_fucata|Pma_10004474, P_fucata|Pma_10008755, P_fucata|Pma_10019583, P_fucata|Pma_10031645, P_fucata|Pma_10024686, P_fucata|Pma_10006295, P_fucata|Pma_10026409, P_fucata|Pma_10012443, P_fucata|Pma_10016439, P_fucata|Pma_10011110, P_fucata|Pma_10022590, P_fucata|Pma_10023292, P_fucata|Pma_10013452, P_fucata|Pma_10013450, P_fucata|Pma_10014320	L_gigantea|XP_009055411.1
OG0000019	P_fucata|Pma_10027659	L_gigantea|XP_009059734.1
OG0000019	P_fucata|Pma_10025141	L_gigantea|XP_009062371.1
OG0000019	P_fucata|Pma_10004783, P_fucata|Pma_10004784	L_gigantea|XP_009053791.1
OG0000019	P_fucata|Pma_10004192	L_gigantea|XP_009057899.1
OG0000019	P_fucata|Pma_10020247	L_gigantea|XP_009063508.1
OG0000019	P_fucata|Pma_10023026, P_fucata|Pma_10013841	L_gigantea|XP_009056958.1
OG0000019	P_fucata|Pma_10003080	L_gigantea|XP_009047890.1
OG0000020	P_fucata|Pma_10019387, P_fucata|Pma_10020902	L_gigantea|XP_009046332.1, L_gigantea|XP_009046334.1, L_gigantea|XP_009046333.1
OG0000020	P_fucata|Pma_10026027, P_fucata|Pma_10001746	L_gigantea|XP_009047653.1, L_gigantea|XP_009051451.1, L_gigantea|XP_009051452.1, L_gigantea|XP_009054607.1, L_gigantea|XP_009059079.1
OG0000021	P_fucata|Pma_10031676, P_fucata|Pma_10018803, P_fucata|Pma_10018494, P_fucata|Pma_312.314, P_fucata|Pma_10025973, P_fucata|Pma_388.228	L_gigantea|XP_009061998.1
OG0000021	P_fucata|Pma_211.729, P_fucata|Pma_291.611, P_fucata|Pma_10000128	L_gigantea|XP_009045657.1, L_gigantea|XP_009053740.1
OG0000023	P_fucata|Pma_10014854	L_gigantea|XP_009044903.1
OG0000024	P_fucata|Pma_10012487	L_gigantea|XP_009056746.1
OG0000025	P_fucata|Pma_10016699	L_gigantea|XP_009048639.1
OG0000026	P_fucata|Pma_10004014	L_gigantea|XP_009051788.1
OG0000027	P_fucata|Pma_10008115	L_gigantea|XP_009058327.1
OG0000028	P_fucata|Pma_10025415	L_gigantea|XP_009050366.1
OG0000029	P_fucata|Pma_10031590	L_gigantea|XP_009051479.1
OG0000030	P_fucata|Pma_10019276	L_gigantea|XP_009051490.1
OG0000031	P_fucata|Pma_10004601	L_gigantea|XP_009055442.1
OG0000032	P_fucata|Pma_10001679	L_gigantea|XP_009048498.1
OG0000033	P_fucata|Pma_10026789	L_gigantea|XP_009056300.1
OG0000034	P_fucata|Pma_10032131	L_gigantea|XP_009054295.1
OG0000035	P_fucata|Pma_10016128	L_gigantea|XP_009063552.1
OG0000036	P_fucata|Pma_10028537	L_gigantea|XP_009048015.1
OG0000037	P_fucata|Pma_10007898	L_gigantea|XP_009045422.1
OG0000038	P_fucata|Pma_225.222	L_gigantea|XP_009067307.1
OG0000039	P_fucata|Pma_10017118	L_gigantea|XP_009046521.1
OG0000040	P_fucata|Pma_10009782	L_gigantea|XP_009047712.1
OG0000041	P_fucata|Pma_10020132	L_gigantea|XP_009050006.1
OG0000042	P_fucata|Pma_10002130	L_gigantea|XP_009062528.1
OG0000043	P_fucata|Pma_10008006	L_gigantea|XP_009045632.1
OG0000044	P_fucata|Pma_10030088	L_gigantea|XP_009057767.1
OG0000045	P_fucata|Pma_10002234	L_gigantea|XP_009043858.1
OG0000046	P_fucata|Pma_10027324	L_gigantea|XP_009060904.1
OG0000047	P_fucata|Pma_10023216	L_gigantea|XP_009059115.1
OG0000048	P_fucata|Pma_10003678	L_gigantea|XP_009064850.1
OG0000049	P_fucata|Pma_10020653	L_gigantea|XP_009043632.1
OG0000050	P_fucata|Pma_10006139	L_gigantea|XP_009053420.1
OG0000051	P_fucata|Pma_10021729	L_gigantea|XP_009050923.1
OG0000052	P_fucata|Pma_10014024	L_gigantea|XP_009054282.1
OG0000053	P_fucata|Pma_10029871	L_gigantea|XP_009066668.1
OG0000054	P_fucata|Pma_10029064	L_gigantea|XP_009044613.1
OG0000055	P_fucata|Pma_10017450	L_gigantea|XP_009066700.1
OG0000056	P_fucata|Pma_10015971	L_gigantea|XP_009054866.1
OG0000057	P_fucata|Pma_10013840	L_gigantea|XP_009047623.1
OG0000058	P_fucata|Pma_10014039	L_gigantea|XP_009060107.1
OG0000059	P_fucata|Pma_10022791	L_gigantea|XP_009060271.1
OG0000060	P_fucata|Pma_10022841	L_gigantea|XP_009056650.1
OG0000061	P_fucata|Pma_10032223	L_gigantea|XP_009053673.1
OG0000062	P_fucata|Pma_10006927	L_gigantea|XP_009059459.1
OG0000063	P_fucata|Pma_10026025	L_gigantea|XP_009053421.1
OG0000064	P_fucata|Pma_10001281	L_gigantea|XP_009051192.1
OG0000065	P_fucata|Pma_10008428	L_gigantea|XP_009050443.1
OG0000066	P_fucata|Pma_10031684	L_gigantea|XP_009046288.1
OG0000067	P_fucata|Pma_10022889	L_gigantea|XP_009050729.1
OG0000068	P_fucata|Pma_10017451	L_gigantea|XP_009064827.1
OG0000069	P_fucata|Pma_10015959	L_gigantea|XP_009048448.1
OG0000070	P_fucata|Pma_10013995	L_gigantea|XP_009063619.1
