Orthogroup	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
OG0000146		B_glabrata|XP_013075221.1						
OG0000147		B_glabrata|XP_013075492.1						
OG0000148		B_glabrata|XP_013075507.1						
OG0000149		B_glabrata|XP_013075611.1						
OG0000150		B_glabrata|XP_013076502.1						
OG0000151		B_glabrata|XP_013076652.1						
OG0000152		B_glabrata|XP_013077418.1						
OG0000153		B_glabrata|XP_013077581.1						
OG0000154		B_glabrata|XP_013078073.1						
OG0000155		B_glabrata|XP_013078523.1						
OG0000156		B_glabrata|XP_013080344.1						
OG0000157		B_glabrata|XP_013080690.1						
OG0000158		B_glabrata|XP_013083814.1						
OG0000159		B_glabrata|XP_013083943.1						
OG0000160		B_glabrata|XP_013084026.1						
OG0000161		B_glabrata|XP_013087014.1						
OG0000162		B_glabrata|XP_013088201.1						
OG0000163		B_glabrata|XP_013089258.1						
OG0000164		B_glabrata|XP_013089739.1						
OG0000165		B_glabrata|XP_013090244.1						
OG0000166		B_glabrata|XP_013090246.1						
OG0000167		B_glabrata|XP_013090330.1						
OG0000168		B_glabrata|XP_013090680.1						
OG0000169		B_glabrata|XP_013091033.1						
OG0000170		B_glabrata|XP_013091721.1						
OG0000171		B_glabrata|XP_013092109.1						
OG0000172		B_glabrata|XP_013092255.1						
OG0000173		B_glabrata|XP_013093854.1						
OG0000174		B_glabrata|XP_013094944.1						
OG0000175		B_glabrata|XP_013095444.1						
OG0000176		B_glabrata|XP_013095722.1						
OG0000177		B_glabrata|XP_013095789.1						
OG0000178		B_glabrata|XP_013096157.1						
OG0000179		B_glabrata|XP_013096270.1						
OG0000180		B_glabrata|XP_013096523.1						
OG0000181		B_glabrata|XP_013097125.1						
OG0000182		B_glabrata|XP_013068835.1						
OG0000183		B_glabrata|XP_013080183.1						
OG0000184			C_virginica|XP_022286215.1					
OG0000185			C_virginica|XP_022286290.1					
OG0000186			C_virginica|XP_022288661.1					
OG0000187			C_virginica|XP_022288786.1					
OG0000188			C_virginica|XP_022292436.1					
OG0000189			C_virginica|XP_022303815.1					
OG0000190			C_virginica|XP_022307614.1					
OG0000191			C_virginica|XP_022310567.1					
OG0000192			C_virginica|XP_022321617.1					
OG0000193			C_virginica|XP_022322241.1					
OG0000194			C_virginica|XP_022324649.1					
OG0000195			C_virginica|XP_022333501.1					
OG0000196			C_virginica|XP_022335876.1					
OG0000197			C_virginica|XP_022341419.1					
OG0000198			C_virginica|YP_254660.1					
OG0000199			C_virginica|XP_022291127.1					
OG0000200			C_virginica|XP_022303050.1					
OG0000201			C_virginica|XP_022305774.1					
OG0000202			C_virginica|XP_022323062.1					
OG0000203				H_robusta|ESN90079.1				
OG0000204				H_robusta|ESN90515.1				
OG0000205				H_robusta|ESN90659.1				
OG0000206				H_robusta|ESN91032.1				
OG0000207				H_robusta|ESN91275.1				
OG0000208				H_robusta|ESN91798.1				
OG0000209				H_robusta|ESN92319.1				
OG0000210				H_robusta|ESN92332.1				
OG0000211				H_robusta|ESN92416.1				
OG0000212				H_robusta|ESN93373.1				
OG0000213				H_robusta|ESN93391.1				
OG0000214				H_robusta|ESN95322.1				
OG0000215				H_robusta|ESN95342.1				
OG0000216				H_robusta|ESN95433.1				
OG0000217				H_robusta|ESN95692.1				
OG0000218				H_robusta|ESN95743.1				
OG0000219				H_robusta|ESN95933.1				
OG0000220				H_robusta|ESN96207.1				
OG0000221				H_robusta|ESN96348.1				
OG0000222				H_robusta|ESN96908.1				
OG0000223				H_robusta|ESN97461.1				
OG0000224				H_robusta|ESN97966.1				
OG0000225				H_robusta|ESN98227.1				
OG0000226				H_robusta|ESN98605.1				
OG0000227				H_robusta|ESN98759.1				
OG0000228				H_robusta|ESN99024.1				
OG0000229				H_robusta|ESN99676.1				
OG0000230				H_robusta|ESO00547.1				
OG0000231				H_robusta|ESO00596.1				
OG0000232				H_robusta|ESO00744.1				
OG0000233				H_robusta|ESO01131.1				
OG0000234				H_robusta|ESO02727.1				
OG0000235				H_robusta|ESO03710.1				
OG0000236				H_robusta|ESO04726.1				
OG0000237				H_robusta|ESO05235.1				
OG0000238				H_robusta|ESO05937.1				
OG0000239				H_robusta|ESO05939.1				
OG0000240				H_robusta|ESO06127.1				
OG0000241				H_robusta|ESO06213.1				
OG0000242				H_robusta|ESO06313.1				
OG0000243				H_robusta|ESO06491.1				
OG0000244				H_robusta|ESO07149.1				
OG0000245				H_robusta|ESO07419.1				
OG0000246				H_robusta|ESO07442.1				
OG0000247				H_robusta|ESO07576.1				
OG0000248				H_robusta|ESO07805.1				
OG0000249				H_robusta|ESO08455.1				
OG0000250				H_robusta|ESO08456.1				
OG0000251				H_robusta|ESO08560.1				
OG0000252				H_robusta|ESO08825.1				
OG0000253				H_robusta|ESO08876.1				
OG0000254				H_robusta|ESO08943.1				
OG0000255				H_robusta|ESO09412.1				
OG0000256				H_robusta|ESO09487.1				
OG0000257				H_robusta|ESO10463.1				
OG0000258				H_robusta|ESO11305.1				
OG0000259				H_robusta|ESO11807.1				
OG0000260				H_robusta|ESO11819.1				
OG0000261				H_robusta|ESO11888.1				
OG0000262				H_robusta|ESO12490.1				
OG0000263				H_robusta|ESO12558.1				
OG0000264				H_robusta|ESO13157.1				
OG0000265				H_robusta|ESN91552.1				
OG0000266				H_robusta|ESN92219.1				
OG0000267				H_robusta|ESN97995.1				
OG0000268				H_robusta|ESO02391.1				
OG0000269				H_robusta|ESO03452.1				
OG0000270				H_robusta|ESO04284.1				
OG0000271				H_robusta|ESO04787.1				
OG0000272				H_robusta|ESO08042.1				
OG0000273				H_robusta|ESO11522.1				
OG0000274					L_gigantea|XP_009043645.1			
OG0000275					L_gigantea|XP_009043741.1			
OG0000276					L_gigantea|XP_009044363.1			
OG0000277					L_gigantea|XP_009044809.1			
OG0000278					L_gigantea|XP_009045110.1			
OG0000279					L_gigantea|XP_009045285.1			
OG0000280					L_gigantea|XP_009045599.1			
OG0000281					L_gigantea|XP_009046760.1			
OG0000282					L_gigantea|XP_009047293.1			
OG0000283					L_gigantea|XP_009047464.1			
OG0000284					L_gigantea|XP_009049105.1			
OG0000285					L_gigantea|XP_009049848.1			
OG0000286					L_gigantea|XP_009050438.1			
OG0000287					L_gigantea|XP_009052117.1			
OG0000288					L_gigantea|XP_009052522.1			
OG0000289					L_gigantea|XP_009052528.1			
OG0000290					L_gigantea|XP_009052859.1			
OG0000291					L_gigantea|XP_009052980.1			
OG0000292					L_gigantea|XP_009053098.1			
OG0000293					L_gigantea|XP_009053119.1			
OG0000294					L_gigantea|XP_009054692.1			
OG0000295					L_gigantea|XP_009055465.1			
OG0000296					L_gigantea|XP_009055724.1			
OG0000297					L_gigantea|XP_009055803.1			
OG0000298					L_gigantea|XP_009056912.1			
OG0000299					L_gigantea|XP_009056935.1			
OG0000300					L_gigantea|XP_009057191.1			
OG0000301					L_gigantea|XP_009057335.1			
OG0000302					L_gigantea|XP_009057791.1			
OG0000303					L_gigantea|XP_009058180.1			
OG0000304					L_gigantea|XP_009058520.1			
OG0000305					L_gigantea|XP_009059504.1			
OG0000306					L_gigantea|XP_009059509.1			
OG0000307					L_gigantea|XP_009059623.1			
OG0000308					L_gigantea|XP_009060697.1			
OG0000309					L_gigantea|XP_009061426.1			
OG0000310					L_gigantea|XP_009061823.1			
OG0000311					L_gigantea|XP_009062082.1			
OG0000312					L_gigantea|XP_009062257.1			
OG0000313					L_gigantea|XP_009063118.1			
OG0000314					L_gigantea|XP_009063309.1			
OG0000315					L_gigantea|XP_009063354.1			
OG0000316					L_gigantea|XP_009063410.1			
OG0000317					L_gigantea|XP_009064846.1			
OG0000318					L_gigantea|XP_009065178.1			
OG0000319					L_gigantea|XP_009065262.1			
OG0000320					L_gigantea|XP_009065813.1			
OG0000321					L_gigantea|XP_009066064.1			
OG0000322					L_gigantea|XP_009066247.1			
OG0000323					L_gigantea|XP_009067134.1			
OG0000324					L_gigantea|XP_009067215.1			
OG0000325					L_gigantea|XP_009067372.1			
OG0000326					L_gigantea|XP_009045639.1			
OG0000327					L_gigantea|XP_009046721.1			
OG0000328					L_gigantea|XP_009046722.1			
OG0000329						O_bimaculoides|XP_014767810.1		
OG0000330						O_bimaculoides|XP_014768228.1		
OG0000331						O_bimaculoides|XP_014770709.1		
OG0000332						O_bimaculoides|XP_014772220.1		
OG0000333						O_bimaculoides|XP_014773698.1		
OG0000334						O_bimaculoides|XP_014777469.1		
OG0000335						O_bimaculoides|XP_014778125.1		
OG0000336						O_bimaculoides|XP_014778921.1		
OG0000337						O_bimaculoides|XP_014779416.1		
OG0000338						O_bimaculoides|XP_014782591.1		
OG0000339						O_bimaculoides|XP_014783417.1		
OG0000340						O_bimaculoides|XP_014783749.1		
OG0000341						O_bimaculoides|XP_014785682.1		
OG0000342						O_bimaculoides|XP_014788986.1		
OG0000343						O_bimaculoides|XP_014789494.1		
OG0000344						O_bimaculoides|XP_014790099.1		
OG0000345						O_bimaculoides|XP_014791297.1		
OG0000346						O_bimaculoides|XP_014774880.1		
OG0000347							P_fucata|Pma_10007448	
OG0000348							P_fucata|Pma_10016568	
OG0000349							P_fucata|Pma_10023353	
OG0000350							P_fucata|Pma_10003440	
OG0000351							P_fucata|Pma_10023061	
OG0000352							P_fucata|Pma_227.79	
OG0000353							P_fucata|Pma_10006895	
OG0000354							P_fucata|Pma_10005660	
OG0000355							P_fucata|Pma_10018737	
OG0000356							P_fucata|Pma_10022923	
OG0000357							P_fucata|Pma_10026051	
OG0000358							P_fucata|Pma_10027368	
OG0000359							P_fucata|Pma_10031275	
OG0000360							P_fucata|Pma_10004141	
OG0000361							P_fucata|Pma_10016513	
OG0000362							P_fucata|Pma_10029028	
OG0000363							P_fucata|Pma_54.117	
OG0000364							P_fucata|Pma_10000510	
OG0000365							P_fucata|Pma_10008457	
OG0000366							P_fucata|Pma_10015795	
OG0000367							P_fucata|Pma_10013222	
OG0000368							P_fucata|Pma_10026647	
OG0000369							P_fucata|Pma_10009942	
OG0000370							P_fucata|Pma_158.550	
OG0000371							P_fucata|Pma_10016201	
OG0000372							P_fucata|Pma_10028078	
OG0000373							P_fucata|Pma_10005719	
OG0000374							P_fucata|Pma_10009778	
OG0000375							P_fucata|Pma_375.519	
OG0000376							P_fucata|Pma_420.37	
OG0000377							P_fucata|Pma_143.99	
OG0000378							P_fucata|Pma_10032542	
OG0000379							P_fucata|Pma_265.610	
OG0000380							P_fucata|Pma_7.386	
OG0000381							P_fucata|Pma_10003301	
OG0000382							P_fucata|Pma_10016112	
OG0000383							P_fucata|Pma_10009829	
OG0000384							P_fucata|Pma_10000162	
OG0000385							P_fucata|Pma_10032363	
OG0000386							P_fucata|Pma_10001988	
OG0000387							P_fucata|Pma_10031132	
OG0000388							P_fucata|Pma_10028296	
OG0000389							P_fucata|Pma_530.903	
OG0000390								S_constricta|evm.model.ctg390.19
OG0000391								S_constricta|evm.model.ctg53.2
OG0000392								S_constricta|evm.model.ctg266.22
OG0000393								S_constricta|evm.model.ctg395.8
OG0000394								S_constricta|evm.model.ctg37.68
OG0000395								S_constricta|evm.model.ctg1259.11
OG0000396								S_constricta|evm.model.ctg126.13
OG0000397								S_constricta|evm.model.ctg255.12
OG0000398								S_constricta|evm.model.ctg123.28
OG0000399								S_constricta|evm.model.ctg1571.1
OG0000400								S_constricta|evm.model.ctg115.40
OG0000401								S_constricta|evm.model.ctg169.11
OG0000402								S_constricta|evm.model.ctg538.26
OG0000403								S_constricta|evm.model.ctg202.12
OG0000404								S_constricta|evm.model.ctg130.7
OG0000405								S_constricta|evm.model.ctg393.49
OG0000406								S_constricta|evm.model.ctg25.40
OG0000407								S_constricta|evm.model.ctg1130.7
OG0000408								S_constricta|evm.model.ctg613.12
OG0000409								S_constricta|evm.model.ctg444.17
OG0000410								S_constricta|evm.model.ctg302.9
OG0000411								S_constricta|evm.model.ctg626.12
OG0000412								S_constricta|evm.model.ctg593.3.1
OG0000413								S_constricta|evm.model.ctg500.3
OG0000414								S_constricta|evm.model.ctg941.30
OG0000415								S_constricta|evm.model.ctg1.56
OG0000416								S_constricta|evm.model.ctg226.23
OG0000417								S_constricta|evm.model.ctg212.11
OG0000418								S_constricta|evm.model.ctg1966.2
OG0000419								S_constricta|evm.model.ctg403.17
OG0000420								S_constricta|evm.model.ctg99.8
OG0000421								S_constricta|evm.model.ctg90.33
OG0000422								S_constricta|evm.model.ctg59.40
OG0000423								S_constricta|evm.model.ctg594.12
OG0000424								S_constricta|evm.model.ctg594.16
OG0000425								S_constricta|evm.model.ctg769.12
OG0000426								S_constricta|evm.model.ctg30.32
OG0000427								S_constricta|evm.model.ctg842.4
OG0000428								S_constricta|evm.model.ctg806.7
OG0000429								S_constricta|evm.model.ctg5379.1
OG0000430								S_constricta|evm.model.ctg1823.2
OG0000431								S_constricta|evm.model.ctg699.16
OG0000432								S_constricta|evm.model.ctg501.13
OG0000433								S_constricta|evm.model.ctg21.27
OG0000434								S_constricta|evm.model.ctg449.30
OG0000435								S_constricta|evm.model.ctg1099.2
OG0000436								S_constricta|evm.model.ctg35.42
OG0000437								S_constricta|evm.model.ctg356.27
OG0000438								S_constricta|evm.model.ctg86.3
OG0000439								S_constricta|evm.model.ctg425.6
OG0000440								S_constricta|evm.model.ctg3468.1
OG0000441								S_constricta|evm.model.ctg911.1
OG0000442								S_constricta|evm.model.ctg235.23
OG0000443								S_constricta|evm.model.ctg1116.13
OG0000444								S_constricta|evm.model.ctg304.111
OG0000445								S_constricta|evm.model.ctg625.12
OG0000446								S_constricta|evm.model.ctg215.58
OG0000447								S_constricta|evm.model.ctg573.7
OG0000448								S_constricta|evm.model.ctg925.7
OG0000449								S_constricta|evm.model.ctg1623.1
OG0000450								S_constricta|evm.model.ctg451.5
OG0000451								S_constricta|evm.model.ctg198.45
OG0000452								S_constricta|evm.model.ctg179.12
OG0000453								S_constricta|evm.model.ctg1118.10
OG0000454								S_constricta|evm.model.ctg615.16
OG0000455								S_constricta|evm.model.ctg338.21
OG0000456								S_constricta|evm.model.ctg107.46
OG0000457								S_constricta|evm.model.ctg146.24
OG0000458								S_constricta|evm.model.ctg129.8
OG0000459								S_constricta|evm.model.ctg129.13
OG0000460								S_constricta|evm.model.ctg667.36
OG0000461								S_constricta|evm.model.ctg1043.8
OG0000462								S_constricta|evm.model.ctg45.25
OG0000463								S_constricta|evm.model.ctg727.8
OG0000464								S_constricta|evm.model.ctg321.16
OG0000465								S_constricta|evm.model.ctg190.12
OG0000466								S_constricta|evm.model.ctg118.3
OG0000467								S_constricta|evm.model.ctg14.10
OG0000468								S_constricta|evm.model.ctg470.7
OG0000469								S_constricta|evm.model.ctg5107.1
OG0000470								S_constricta|evm.model.ctg792.3
OG0000471								S_constricta|evm.model.ctg4.58
OG0000472								S_constricta|evm.model.ctg521.23
OG0000473								S_constricta|evm.model.ctg512.22
OG0000474								S_constricta|evm.model.ctg1283.1
OG0000475								S_constricta|evm.model.ctg986.10
OG0000476								S_constricta|evm.model.ctg67.112
OG0000477								S_constricta|evm.model.ctg67.145
OG0000478								S_constricta|evm.model.ctg206.7
OG0000479								S_constricta|evm.model.ctg1204.15
OG0000480								S_constricta|evm.model.ctg96.134
OG0000481								S_constricta|evm.model.ctg766.17
OG0000482								S_constricta|evm.model.ctg22.3
OG0000483								S_constricta|evm.model.ctg412.16
OG0000484								S_constricta|evm.model.ctg629.14
OG0000485								S_constricta|evm.model.ctg425.20
