0_0: A_granulata|evm.model.Super-Scaffold_100002.117_1
0_132: A_granulata|evm.model.Super-Scaffold_100006.96_1
0_133: A_granulata|evm.model.Super-Scaffold_100006.1061_1
0_134: A_granulata|evm.model.Super-Scaffold_100006.1008_1
0_135: A_granulata|evm.model.Super-Scaffold_100006.260_1
0_136: A_granulata|evm.model.Super-Scaffold_100006.1260_1
0_137: A_granulata|evm.model.Super-Scaffold_100006.1011_1
0_138: A_granulata|evm.model.Super-Scaffold_100006.1089_1
0_139: A_granulata|evm.model.Super-Scaffold_100006.448_1
0_140: A_granulata|evm.model.Super-Scaffold_100006.622_1
0_141: A_granulata|evm.model.Super-Scaffold_100007.58_1
0_142: A_granulata|evm.model.Super-Scaffold_100007.202_1
0_143: A_granulata|evm.model.Super-Scaffold_100007.56_1
0_144: A_granulata|evm.model.Super-Scaffold_100007.614_1
0_145: A_granulata|evm.model.Super-Scaffold_100007.501_1
0_146: A_granulata|evm.model.Super-Scaffold_100007.674_1
0_147: A_granulata|evm.model.Super-Scaffold_100007.618_1
0_148: A_granulata|evm.model.Super-Scaffold_100007.57_1
0_149: A_granulata|evm.model.Super-Scaffold_100008.401_1
0_150: A_granulata|evm.model.Super-Scaffold_100008.70_1
0_151: A_granulata|evm.model.Super-Scaffold_100008.157_1
0_152: A_granulata|evm.model.Super-Scaffold_100008.823_1
0_153: A_granulata|evm.model.Super-Scaffold_100008.811_1
0_154: A_granulata|evm.model.Super-Scaffold_100008.854_1
0_155: A_granulata|evm.model.Super-Scaffold_100008.439_1
0_156: A_granulata|evm.model.Super-Scaffold_100009.797_1
0_157: A_granulata|evm.model.Super-Scaffold_100009.812_1
0_158: A_granulata|evm.model.Super-Scaffold_100009.793_1
0_159: A_granulata|evm.model.Super-Scaffold_100010.13_1
0_160: A_granulata|evm.model.Super-Scaffold_100010.504_1
0_161: A_granulata|evm.model.Super-Scaffold_100010.753_1
0_162: A_granulata|evm.model.Super-Scaffold_100010.727_1
0_163: A_granulata|evm.model.Super-Scaffold_100011.940_1
0_164: A_granulata|evm.model.Super-Scaffold_100011.9_1
0_165: A_granulata|evm.model.Super-Scaffold_100011.732_1
0_166: A_granulata|evm.model.Super-Scaffold_100011.603_1
0_167: A_granulata|evm.model.Super-Scaffold_100011.821_1
0_168: A_granulata|evm.model.Super-Scaffold_100012.701_1
0_169: A_granulata|evm.model.Super-Scaffold_100013.490_1
0_170: A_granulata|evm.model.Super-Scaffold_100013.273_1
0_171: A_granulata|evm.model.Super-Scaffold_100015.621_1
0_172: A_granulata|evm.model.Super-Scaffold_100015.682_1
0_173: A_granulata|evm.model.Super-Scaffold_100015.160_1
0_174: A_granulata|evm.model.Super-Scaffold_100015.665_1
0_175: A_granulata|evm.model.Super-Scaffold_100016.180_1
0_176: A_granulata|evm.model.Super-Scaffold_100016.318_1
0_177: A_granulata|evm.model.Super-Scaffold_100017.164_1
0_178: A_granulata|evm.model.Super-Scaffold_100017.102_1
0_179: A_granulata|evm.model.Super-Scaffold_100018.42_1
0_180: A_granulata|evm.model.Super-Scaffold_100018.284_1
0_181: A_granulata|evm.model.Super-Scaffold_100018.55_1
0_182: A_granulata|evm.model.Super-Scaffold_100018.403_1
0_183: A_granulata|evm.model.Super-Scaffold_100018.479_1
0_184: A_granulata|evm.model.Super-Scaffold_100018.43_1
0_185: A_granulata|evm.model.Super-Scaffold_100018.82_1
0_186: A_granulata|evm.model.Super-Scaffold_100018.71_1
0_187: A_granulata|evm.model.Super-Scaffold_100018.418_1
0_188: A_granulata|evm.model.Super-Scaffold_100018.57_1
0_189: A_granulata|evm.model.Super-Scaffold_100018.134_1
0_190: A_granulata|evm.model.Super-Scaffold_100018.471_1
0_191: A_granulata|evm.model.Super-Scaffold_100018.142_1
0_192: A_granulata|evm.model.Super-Scaffold_100018.99_1
0_193: A_granulata|evm.model.Super-Scaffold_100019.356_1
0_194: A_granulata|evm.model.Super-Scaffold_100019.10_1
0_195: A_granulata|evm.model.Super-Scaffold_100019.365_1
0_196: A_granulata|evm.model.Super-Scaffold_100019.4_1
0_197: A_granulata|evm.model.Super-Scaffold_100019.47_1
0_198: A_granulata|evm.model.Super-Scaffold_100019.5_1
0_199: A_granulata|evm.model.Super-Scaffold_100019.53_1
0_200: A_granulata|evm.model.Super-Scaffold_100020.285_1
0_201: A_granulata|evm.model.Super-Scaffold_100021.317_1
0_202: A_granulata|evm.model.Super-Scaffold_100021.413_1
0_203: A_granulata|evm.model.Super-Scaffold_100021.214_1
0_204: A_granulata|evm.model.Super-Scaffold_100022.359_1
0_205: A_granulata|evm.model.Super-Scaffold_100023.260_1
0_206: A_granulata|evm.model.Super-Scaffold_100025.67_1
0_207: A_granulata|evm.model.Super-Scaffold_100026.204_1
0_208: A_granulata|evm.model.Super-Scaffold_100026.18_1
0_209: A_granulata|evm.model.Super-Scaffold_100029.49_1
0_210: A_granulata|evm.model.Super-Scaffold_100033.110_1
0_211: A_granulata|evm.model.Super-Scaffold_100033.81_1
0_212: A_granulata|evm.model.Super-Scaffold_100059.43_1
0_213: A_granulata|evm.model.Super-Scaffold_505.1008_1
0_214: A_granulata|evm.model.Super-Scaffold_505.2186_1
0_215: A_granulata|evm.model.Super-Scaffold_505.890_1
0_216: A_granulata|evm.model.Super-Scaffold_505.129_1
0_217: A_granulata|evm.model.Super-Scaffold_505.1857_1
0_218: A_granulata|evm.model.Super-Scaffold_505.1159_1
0_219: A_granulata|evm.model.Super-Scaffold_505.2151_1
0_220: A_granulata|evm.model.Super-Scaffold_505.2013_1
0_221: A_granulata|evm.model.Super-Scaffold_505.70_1
0_222: A_granulata|evm.model.Super-Scaffold_505.1995_1
0_223: A_granulata|evm.model.Super-Scaffold_505.2154_1
0_224: A_granulata|evm.model.Super-Scaffold_505.2092_1
0_225: A_granulata|evm.model.Super-Scaffold_505.2149_1
0_226: A_granulata|evm.model.Super-Scaffold_6845.209_1
0_227: A_granulata|evm.model.Super-Scaffold_6845.204_1
0_228: A_granulata|model.g2460.t1_1
0_229: A_granulata|model.g2640.t1_1
0_230: A_granulata|model.g1688.t1_1
0_231: A_granulata|model.g425.t1_1
0_232: A_granulata|model.g3623.t1_1
0_233: A_granulata|model.g5371.t1_1
0_234: A_granulata|model.g5787.t1_1
0_235: A_granulata|model.g5630.t1_1
0_236: A_granulata|model.g8844.t1_1
0_237: A_granulata|model.g9850.t1_1
0_238: A_granulata|model.g11490.t1_1
0_239: A_granulata|model.g12005.t1_1
0_240: A_granulata|model.g11643.t1_1
0_241: A_granulata|model.g13670.t1_1
0_242: A_granulata|model.g14027.t1_1
0_243: A_granulata|model.g15406.t1_1
0_244: A_granulata|model.g18176.t1_1
0_245: A_granulata|model.g22320.t1_1
0_246: A_granulata|model.g23985.t1_1
0_247: A_granulata|model.g26187.t1_1
0_248: A_granulata|model.g26257.t1_1
0_249: A_granulata|model.g26917.t1_1
0_250: A_granulata|model.g26937.t1_1
0_251: A_granulata|model.g26966.t1_1
0_252: A_granulata|evm.model.Super-Scaffold_100004.411_1
0_253: A_granulata|evm.model.Super-Scaffold_100004.301_1
0_254: A_granulata|evm.model.Super-Scaffold_100004.333_1
0_255: A_granulata|evm.model.Super-Scaffold_100004.707_1
0_256: A_granulata|evm.model.Super-Scaffold_100004.295_1
0_257: A_granulata|evm.model.Super-Scaffold_100004.706_1
0_258: A_granulata|evm.model.Super-Scaffold_100006.1323_1
0_259: A_granulata|evm.model.Super-Scaffold_100009.926_1
0_260: A_granulata|model.g6273.t1_1
0_261: A_granulata|model.g5760.t1_1
0_262: A_granulata|model.g6266.t1_1
0_263: A_granulata|model.g5761.t1_1
0_264: A_granulata|model.g13938.t1_1
0_265: A_granulata|model.g13936.t1_1
0_266: A_granulata|model.g6272.t1_1
0_267: A_granulata|model.g6275.t1_1
0_268: A_granulata|model.g6264.t1_model.g6265.t1_1
0_269: A_granulata|model.g6274.t1_1
0_270: A_granulata|model.g6270.t1.2.5d3b84cf_1
0_271: A_granulata|evm.model.Super-Scaffold_100002.833_1
0_272: A_granulata|evm.model.Super-Scaffold_100004.157_1
0_273: A_granulata|evm.model.Super-Scaffold_100006.1281_1
0_274: A_granulata|evm.model.Super-Scaffold_100006.676_1
0_275: A_granulata|evm.model.Super-Scaffold_100010.662_1
0_276: A_granulata|evm.model.Super-Scaffold_100012.506_1
0_277: A_granulata|evm.model.Super-Scaffold_100013.618_1
0_278: A_granulata|evm.model.Super-Scaffold_100013.583_1
0_279: A_granulata|evm.model.Super-Scaffold_100014.34_1
0_280: A_granulata|evm.model.Super-Scaffold_505.1606_1
0_281: A_granulata|evm.model.Super-Scaffold_505.1121_1
0_282: A_granulata|evm.model.Super-Scaffold_505.825_1
0_283: A_granulata|model.g14108.t1_1
0_284: A_granulata|model.g14402.t1_1
0_285: A_granulata|evm.model.Super-Scaffold_100002.249_1
0_286: A_granulata|evm.model.Super-Scaffold_100057.39_1
0_287: A_granulata|model.g11415.t1_1
0_288: A_granulata|model.g20494.t1_1
0_289: A_granulata|evm.model.Super-Scaffold_100003.698_1
0_290: A_granulata|evm.model.Super-Scaffold_100005.476_1
0_291: A_granulata|evm.model.Super-Scaffold_100016.112_1
0_292: A_granulata|evm.model.Super-Scaffold_100019.314_1
0_293: A_granulata|evm.model.Super-Scaffold_100037.2_1
0_294: A_granulata|evm.model.Super-Scaffold_505.1528_1
0_295: A_granulata|model.g8906.t1_1
0_296: A_granulata|model.g19855.t1_1
0_297: A_granulata|model.g26165.t1_1
0_298: A_granulata|model.g20194.t1_1
0_299: A_granulata|evm.model.Super-Scaffold_100003.1034_1
0_300: A_granulata|model.g706.t1_1
0_301: A_granulata|model.g4965.t1_1
0_302: A_granulata|model.g4966.t1_1
0_303: A_granulata|model.g7451.t1_1
0_304: A_granulata|model.g7414.t1_1
0_305: A_granulata|model.g11695.t1_1
0_306: A_granulata|model.g14035.t1_1
0_307: A_granulata|model.g8205.t1_1
0_308: A_granulata|model.g11738.t1.5.5d3b86a4_1
0_309: A_granulata|evm.model.Super-Scaffold_100008.138_1
0_310: A_granulata|evm.model.Super-Scaffold_505.316_1
0_311: A_granulata|evm.model.Super-Scaffold_505.2085_1
0_312: A_granulata|model.g3103.t1_1
0_313: A_granulata|model.g11218.t1_1
0_314: A_granulata|model.g12028.t1_1
0_315: A_granulata|model.g12671.t1_1
0_316: A_granulata|model.g11836.t1_1
0_317: A_granulata|model.g12669.t1_1
0_318: A_granulata|model.g12858.t1_1
0_319: A_granulata|model.g30887.t1_1
0_320: A_granulata|model.g28987.t1_1
0_321: A_granulata|model.g27971.t1_1
0_322: A_granulata|model.g29636.t1_1
0_323: A_granulata|model.g31254.t1.2.5d3b8d4b_1
0_324: A_granulata|model.g28815.t1_1
0_325: A_granulata|evm.model.Super-Scaffold_100012.51_1
0_326: A_granulata|model.g31071.t1_1
1_0: B_glabrata|XP_013069100.1
1_1: B_glabrata|XP_013079153.1
1_2: B_glabrata|XP_013070418.1
1_3: B_glabrata|XP_013085147.1
1_4: B_glabrata|XP_013079423.1
1_5: B_glabrata|XP_013064541.1
1_6: B_glabrata|XP_013084231.1
1_7: B_glabrata|XP_013088149.1
1_8: B_glabrata|XP_013061816.1
1_9: B_glabrata|XP_013081362.1
1_10: B_glabrata|XP_013091381.1
1_11: B_glabrata|XP_013078957.1
1_12: B_glabrata|XP_013075562.1
1_13: B_glabrata|XP_013064900.1
1_14: B_glabrata|XP_013085046.1
1_15: B_glabrata|XP_013077767.1
1_16: B_glabrata|XP_013086056.1
1_17: B_glabrata|XP_013079984.1
1_18: B_glabrata|XP_013075181.1
1_19: B_glabrata|XP_013068776.1
1_20: B_glabrata|XP_013064636.1
1_21: B_glabrata|XP_013096019.1
1_22: B_glabrata|XP_013086308.1
1_23: B_glabrata|XP_013066099.1
1_24: B_glabrata|XP_013083200.1
1_25: B_glabrata|XP_013082575.1
1_26: B_glabrata|XP_013086900.1
1_27: B_glabrata|XP_013067132.1
1_28: B_glabrata|XP_013095945.1
1_29: B_glabrata|XP_013090147.1
1_30: B_glabrata|XP_013088196.1
1_31: B_glabrata|XP_013067251.1
1_32: B_glabrata|XP_013065711.1
1_33: B_glabrata|XP_013087945.1
1_34: B_glabrata|XP_013082149.1
1_35: B_glabrata|XP_013065610.1
1_36: B_glabrata|XP_013076231.1
1_37: B_glabrata|XP_013083411.1
1_38: B_glabrata|XP_013072764.1
1_39: B_glabrata|XP_013096882.1
1_40: B_glabrata|XP_013065247.1
1_41: B_glabrata|XP_013084385.1
1_42: B_glabrata|XP_013061978.1
1_43: B_glabrata|XP_013084680.1
1_44: B_glabrata|XP_013080185.1
1_45: B_glabrata|XP_013070700.1
1_46: B_glabrata|XP_013071542.1
1_47: B_glabrata|XP_013063965.1
1_48: B_glabrata|XP_013067166.1
1_49: B_glabrata|XP_013060935.1
1_50: B_glabrata|XP_013061407.1
1_51: B_glabrata|XP_013061475.1
1_52: B_glabrata|XP_013062356.1
1_53: B_glabrata|XP_013062668.1
1_54: B_glabrata|XP_013062677.1
1_55: B_glabrata|XP_013062868.1
1_56: B_glabrata|XP_013063289.1
1_57: B_glabrata|XP_013063324.1
1_58: B_glabrata|XP_013064971.1
1_59: B_glabrata|XP_013066103.1
1_60: B_glabrata|XP_013067177.1
1_61: B_glabrata|XP_013070276.1
1_62: B_glabrata|XP_013070295.1
1_63: B_glabrata|XP_013070675.1
1_64: B_glabrata|XP_013071122.1
1_65: B_glabrata|XP_013071934.1
1_66: B_glabrata|XP_013072010.1
1_67: B_glabrata|XP_013072166.1
1_68: B_glabrata|XP_013072849.1
1_69: B_glabrata|XP_013073841.1
1_70: B_glabrata|XP_013073978.1
1_71: B_glabrata|XP_013074246.1
1_72: B_glabrata|XP_013074268.1
1_73: B_glabrata|XP_013075221.1
1_74: B_glabrata|XP_013075492.1
1_75: B_glabrata|XP_013075507.1
1_76: B_glabrata|XP_013075611.1
1_77: B_glabrata|XP_013076502.1
1_78: B_glabrata|XP_013076652.1
1_79: B_glabrata|XP_013077418.1
1_80: B_glabrata|XP_013077581.1
1_81: B_glabrata|XP_013078073.1
1_82: B_glabrata|XP_013078523.1
1_83: B_glabrata|XP_013080344.1
1_84: B_glabrata|XP_013080690.1
1_85: B_glabrata|XP_013083814.1
1_86: B_glabrata|XP_013083943.1
1_87: B_glabrata|XP_013084026.1
1_88: B_glabrata|XP_013087014.1
1_89: B_glabrata|XP_013088201.1
1_90: B_glabrata|XP_013089258.1
1_91: B_glabrata|XP_013089739.1
1_92: B_glabrata|XP_013090244.1
1_93: B_glabrata|XP_013090246.1
1_94: B_glabrata|XP_013090330.1
1_95: B_glabrata|XP_013090680.1
1_96: B_glabrata|XP_013091033.1
1_97: B_glabrata|XP_013091721.1
1_98: B_glabrata|XP_013092109.1
1_99: B_glabrata|XP_013092255.1
1_100: B_glabrata|XP_013093167.1
1_101: B_glabrata|XP_013093854.1
1_102: B_glabrata|XP_013094944.1
1_103: B_glabrata|XP_013095444.1
1_104: B_glabrata|XP_013095722.1
1_105: B_glabrata|XP_013095789.1
1_106: B_glabrata|XP_013096157.1
1_107: B_glabrata|XP_013096270.1
1_108: B_glabrata|XP_013096523.1
1_109: B_glabrata|XP_013097125.1
1_110: B_glabrata|XP_013061439.1
1_111: B_glabrata|XP_013066259.1
1_112: B_glabrata|XP_013090931.1
1_113: B_glabrata|XP_013062440.1
1_114: B_glabrata|XP_013086610.1
1_115: B_glabrata|XP_013089298.1
1_116: B_glabrata|XP_013091058.1
1_117: B_glabrata|XP_013093169.1
1_118: B_glabrata|XP_013060748.1
1_119: B_glabrata|XP_013060749.1
1_120: B_glabrata|XP_013060750.1
1_121: B_glabrata|XP_013060751.1
1_122: B_glabrata|XP_013060752.1
1_123: B_glabrata|XP_013060753.1
1_124: B_glabrata|XP_013061378.1
1_125: B_glabrata|XP_013061765.1
1_126: B_glabrata|XP_013062259.1
1_127: B_glabrata|XP_013063792.1
1_128: B_glabrata|XP_013063815.1
1_129: B_glabrata|XP_013064133.1
1_130: B_glabrata|XP_013064687.1
1_131: B_glabrata|XP_013064834.1
1_132: B_glabrata|XP_013065598.1
1_133: B_glabrata|XP_013065599.1
1_134: B_glabrata|XP_013065601.1
1_135: B_glabrata|XP_013065602.1
1_136: B_glabrata|XP_013065603.1
1_137: B_glabrata|XP_013065689.1
1_138: B_glabrata|XP_013065800.1
1_139: B_glabrata|XP_013066216.1
1_140: B_glabrata|XP_013066356.1
1_141: B_glabrata|XP_013066380.1
1_142: B_glabrata|XP_013067980.1
1_143: B_glabrata|XP_013068909.1
1_144: B_glabrata|XP_013068910.1
1_145: B_glabrata|XP_013068911.1
1_146: B_glabrata|XP_013068912.1
1_147: B_glabrata|XP_013068923.1
1_148: B_glabrata|XP_013070490.1
1_149: B_glabrata|XP_013070912.1
1_150: B_glabrata|XP_013070931.1
1_151: B_glabrata|XP_013070941.1
1_152: B_glabrata|XP_013071039.1
1_153: B_glabrata|XP_013071040.1
1_154: B_glabrata|XP_013072739.1
1_155: B_glabrata|XP_013072793.1
1_156: B_glabrata|XP_013072794.1
1_157: B_glabrata|XP_013072938.1
1_158: B_glabrata|XP_013073022.1
1_159: B_glabrata|XP_013073127.1
1_160: B_glabrata|XP_013073621.1
1_161: B_glabrata|XP_013073839.1
1_162: B_glabrata|XP_013074238.1
1_163: B_glabrata|XP_013075477.1
1_164: B_glabrata|XP_013075511.1
1_165: B_glabrata|XP_013075681.1
1_166: B_glabrata|XP_013075900.1
1_167: B_glabrata|XP_013076040.1
1_168: B_glabrata|XP_013076081.1
1_169: B_glabrata|XP_013076118.1
1_170: B_glabrata|XP_013076119.1
1_171: B_glabrata|XP_013076490.1
1_172: B_glabrata|XP_013076820.1
1_173: B_glabrata|XP_013076976.1
1_174: B_glabrata|XP_013076977.1
1_175: B_glabrata|XP_013077191.1
1_176: B_glabrata|XP_013077360.1
1_177: B_glabrata|XP_013077835.1
1_178: B_glabrata|XP_013077843.1
1_179: B_glabrata|XP_013077931.1
1_180: B_glabrata|XP_013078205.1
1_181: B_glabrata|XP_013078857.1
1_182: B_glabrata|XP_013079575.1
1_183: B_glabrata|XP_013079821.1
1_184: B_glabrata|XP_013079822.1
1_185: B_glabrata|XP_013079823.1
1_186: B_glabrata|XP_013079824.1
1_187: B_glabrata|XP_013079825.1
1_188: B_glabrata|XP_013079826.1
1_189: B_glabrata|XP_013079939.1
1_190: B_glabrata|XP_013080113.1
1_191: B_glabrata|XP_013080139.1
1_192: B_glabrata|XP_013080600.1
1_193: B_glabrata|XP_013081547.1
1_194: B_glabrata|XP_013081639.1
1_195: B_glabrata|XP_013081961.1
1_196: B_glabrata|XP_013081962.1
1_197: B_glabrata|XP_013081963.1
1_198: B_glabrata|XP_013081965.1
1_199: B_glabrata|XP_013082453.1
1_200: B_glabrata|XP_013082529.1
1_201: B_glabrata|XP_013082539.1
1_202: B_glabrata|XP_013082780.1
1_203: B_glabrata|XP_013082945.1
1_204: B_glabrata|XP_013083094.1
1_205: B_glabrata|XP_013083115.1
1_206: B_glabrata|XP_013083285.1
1_207: B_glabrata|XP_013083331.1
1_208: B_glabrata|XP_013083470.1
1_209: B_glabrata|XP_013083635.1
1_210: B_glabrata|XP_013084274.1
1_211: B_glabrata|XP_013085672.1
1_212: B_glabrata|XP_013085673.1
1_213: B_glabrata|XP_013085869.1
1_214: B_glabrata|XP_013086084.1
1_215: B_glabrata|XP_013087274.1
1_216: B_glabrata|XP_013088025.1
1_217: B_glabrata|XP_013088661.1
1_218: B_glabrata|XP_013088875.1
1_219: B_glabrata|XP_013088913.1
1_220: B_glabrata|XP_013088914.1
1_221: B_glabrata|XP_013088915.1
1_222: B_glabrata|XP_013089007.1
1_223: B_glabrata|XP_013089113.1
1_224: B_glabrata|XP_013089173.1
1_225: B_glabrata|XP_013089577.1
1_226: B_glabrata|XP_013089597.1
1_227: B_glabrata|XP_013089599.1
1_228: B_glabrata|XP_013089696.1
1_229: B_glabrata|XP_013089697.1
1_230: B_glabrata|XP_013090038.1
1_231: B_glabrata|XP_013090255.1
1_232: B_glabrata|XP_013090256.1
1_233: B_glabrata|XP_013090257.1
1_234: B_glabrata|XP_013090258.1
1_235: B_glabrata|XP_013090259.1
1_236: B_glabrata|XP_013090260.1
1_237: B_glabrata|XP_013090262.1
1_238: B_glabrata|XP_013090263.1
1_239: B_glabrata|XP_013090264.1
1_240: B_glabrata|XP_013090871.1
1_241: B_glabrata|XP_013091101.1
1_242: B_glabrata|XP_013091977.1
1_243: B_glabrata|XP_013092206.1
1_244: B_glabrata|XP_013092332.1
1_245: B_glabrata|XP_013092334.1
1_246: B_glabrata|XP_013092510.1
1_247: B_glabrata|XP_013092710.1
1_248: B_glabrata|XP_013092714.1
1_249: B_glabrata|XP_013092831.1
